Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff
3.22,1.349,0.311,646.7,471.6,0.876,1.3883
3.8,1.004,0.429,1161.7,465.7,0.883,1.08625
2.37,1.919,0.469,478.9,338.9,0.987,1.29283
5.84,1.11,0.294,1718.2,320.6,0.996,1.52213
8.07,1.57,0.453,1729.1,354.6,0.977,1.5758
2.26,1.921,0.409,319.7,304.5,1.002,1.20132
6.0,1.739,0.332,1486.0,407.1,0.939,1.48855
6.9,1.055,0.38,1179.3,345.6,0.983,1.41586
5.1,1.164,0.293,1182.1,516.2,0.821,1.50049
2.14,1.523,0.384,1655.0,484.7,0.861,1.26036
2.17,1.527,0.693,650.7,300.4,1.003,1.03688
2.83,1.321,0.454,823.1,371.2,0.967,1.34142
3.6,1.252,0.555,1496.5,427.2,0.921,1.06925
2.67,1.921,0.244,681.6,451.6,0.898,0.91717
6.64,1.503,0.248,340.7,311.4,0.999,1.45672
5.72,1.712,0.498,793.2,506.5,0.834,1.53182
6.49,1.459,0.587,769.1,494.2,0.85,1.32792
5.98,1.694,0.225,891.2,515.1,0.822,1.33449
2.27,1.894,0.329,1601.2,411.5,0.935,1.07074
2.91,1.35,0.457,1461.1,582.6,0.705,1.28002
7.79,1.814,0.559,947.6,385.6,0.956,1.57373
5.41,1.092,0.359,1608.1,578.8,0.713,1.37194
6.09,1.725,0.391,1283.9,369.3,0.968,1.54076
7.64,1.396,0.308,332.0,301.1,1.003,1.59882
8.44,1.566,0.654,690.0,599.8,0.66,1.27826
3.5,1.923,0.2,1451.6,331.6,0.99,0.82093
8.28,1.02,0.428,525.6,409.5,0.937,1.28614
8.62,1.254,0.529,729.7,326.3,0.993,1.32627
3.42,1.372,0.592,1535.4,450.2,0.899,1.12082
8.48,1.754,0.593,930.1,342.6,0.985,1.5467
1.87,1.62,0.385,543.8,319.4,0.996,1.1879
6.77,1.182,0.461,1126.5,506.7,0.834,1.31673
8.78,1.722,0.746,1780.3,384.0,0.957,1.30551
2.23,1.144,0.497,1546.6,521.1,0.814,0.96548
8.0,1.719,0.534,1753.1,561.1,0.749,1.51279
2.97,1.579,0.403,1636.6,464.1,0.884,1.37083
3.23,1.152,0.362,688.0,438.5,0.911,1.38607
3.47,1.836,0.617,572.3,457.1,0.892,1.41646
2.03,1.98,0.376,1561.0,344.7,0.983,1.06861
6.94,1.979,0.535,1209.2,392.1,0.951,1.57998
5.2,1.657,0.686,1193.6,525.5,0.808,1.255
7.12,1.824,0.296,942.1,440.7,0.909,1.47634
7.13,1.389,0.479,1631.9,309.5,1.0,1.47972
5.57,1.141,0.404,1222.8,485.1,0.861,1.38242
7.45,1.527,0.544,1537.4,442.3,0.907,1.4542
7.76,1.68,0.742,728.0,429.5,0.919,1.28169
8.32,1.695,0.396,1744.9,418.0,0.93,1.6014
7.36,1.802,0.241,1754.6,522.0,0.813,1.40738
4.55,1.685,0.75,934.1,567.7,0.737,1.1174
8.79,1.152,0.423,804.2,300.2,1.003,1.45601
6.23,1.321,0.366,1292.4,326.0,0.993,1.5455
7.25,1.664,0.51,1120.5,481.9,0.864,1.54233
5.07,1.803,0.829,691.7,332.1,0.99,1.18366
7.66,1.951,0.226,1697.4,332.4,0.99,1.23712
6.82,1.275,0.366,1748.0,500.7,0.841,1.51962
8.98,1.502,0.511,617.7,432.9,0.916,1.53048
5.48,1.996,0.548,1597.6,506.1,0.834,1.52707
7.68,1.733,0.378,381.8,302.5,1.002,1.59241
5.17,1.536,0.561,1465.0,508.4,0.831,1.37456
6.32,1.653,0.645,1633.7,382.6,0.958,1.37965
6.66,1.89,0.661,859.1,359.5,0.974,1.50796
2.98,1.391,0.612,778.1,479.7,0.867,1.08318
8.04,1.67,0.486,1185.4,493.7,0.85,1.56982
2.51,1.697,0.545,1184.1,381.8,0.959,1.34032
8.66,1.78,0.383,912.0,507.1,0.833,1.61861
4.12,1.273,0.52,648.1,462.0,0.887,1.24316
3.61,1.309,0.267,1499.0,578.4,0.714,1.393
1.73,1.396,0.303,1600.0,335.9,0.988,1.09355
2.29,1.895,0.377,1244.2,539.0,0.787,1.21047
2.08,1.487,0.529,1693.0,574.7,0.722,1.18607
1.33,1.721,0.28,1623.8,594.5,0.675,0.88313
1.2,1.822,0.648,986.1,302.4,1.002,1.11289
5.6,1.881,0.772,1016.6,338.4,0.987,1.35431
5.75,1.673,0.601,1143.6,392.3,0.951,1.44902
2.67,1.092,0.253,650.8,331.3,0.991,1.31208
4.97,1.048,0.2,1716.9,564.6,0.743,1.45914
6.36,1.862,0.502,1204.1,347.3,0.982,1.56501
1.77,1.422,0.281,1125.9,435.1,0.914,1.06728
5.51,1.437,0.329,794.6,394.8,0.949,1.529
4.27,1.406,0.284,1199.6,398.8,0.946,1.41598
1.71,1.012,0.256,347.1,329.1,0.992,1.18299
3.09,1.901,0.651,1126.1,327.3,0.992,1.38713
8.77,1.117,0.278,641.8,422.9,0.925,1.61405
8.39,1.892,0.803,459.0,388.6,0.954,1.38217
4.43,1.002,0.241,1552.2,473.8,0.874,1.4572
3.69,1.306,0.338,1441.5,458.7,0.89,1.43044
8.57,1.602,0.56,1269.1,373.2,0.965,1.50709
4.11,1.898,0.617,1509.7,326.4,0.993,1.45416
1.49,1.738,0.391,1580.3,454.5,0.895,1.06666
4.2,1.635,0.364,1291.4,508.3,0.832,1.45441
6.9,1.762,0.247,1500.7,351.4,0.979,1.35413
