Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
8.1,1.486,0.663,828.4,484.4,0.862,1.23713,0.0004
2.97,1.104,0.357,784.8,380.8,0.96,1.35913,0.00043
1.13,1.77,0.51,1263.1,437.6,0.912,1.05868,0.00036
8.63,1.093,0.292,1742.3,375.1,0.964,1.57695,0.00039
5.69,1.068,0.206,1090.1,327.9,0.992,1.48138,0.00038
8.02,1.096,0.244,1359.9,572.9,0.726,1.57917,0.00036
8.12,1.245,0.365,998.4,355.6,0.977,1.5708,0.00035
6.61,1.82,0.413,400.5,377.9,0.962,1.57366,0.00043
4.5,1.548,0.598,1016.9,550.5,0.768,1.29699,0.00038
1.18,1.845,0.682,873.9,400.3,0.945,1.09388,0.00039
7.56,1.728,0.72,1043.6,492.0,0.852,1.32363,0.00041
8.65,1.472,0.277,1419.0,335.6,0.988,1.57191,0.00036
5.44,1.204,0.248,404.3,362.0,0.973,1.50575,0.00036
4.93,1.111,0.227,515.5,428.7,0.92,1.47875,0.00043
1.12,1.291,0.536,567.2,479.1,0.868,0.96049,0.0004
5.36,1.859,0.712,1636.1,572.9,0.726,1.32225,0.00042
1.69,1.564,0.688,899.1,349.9,0.98,1.02912,0.00043
2.14,1.299,0.428,1310.0,472.6,0.875,1.25893,0.0004
8.12,1.775,0.669,593.0,516.3,0.821,1.4429,0.00042
6.12,1.325,0.219,943.3,579.5,0.712,1.4971,0.00038
7.0,1.3,0.353,979.0,361.9,0.973,1.57058,0.0004
3.95,1.381,0.4,1668.0,461.9,0.887,1.43712,0.00047
1.55,1.416,0.523,1192.7,476.4,0.871,1.13108,0.00043
8.69,1.182,0.269,1389.3,442.0,0.907,1.6042,0.00041
6.37,1.71,0.334,886.2,310.2,1.0,1.50714,0.00042
6.82,1.768,0.493,1172.7,318.7,0.996,1.57372,0.00038
5.82,1.213,0.536,892.4,453.5,0.896,1.16197,0.00038
2.91,1.883,0.662,597.9,301.9,1.003,1.38005,0.00039
2.03,1.394,0.485,1357.6,364.3,0.971,1.24604,0.00046
3.55,1.855,0.385,1172.8,537.7,0.789,1.39191,0.00034
4.29,1.782,0.439,960.5,546.0,0.776,1.48511,0.00043
6.95,1.921,0.665,861.4,435.9,0.913,1.50852,0.00038
3.97,1.962,0.858,1738.1,398.4,0.946,1.19618,0.00033
4.49,1.353,0.333,1550.1,404.3,0.941,1.4756,0.00043
6.59,1.401,0.556,1245.0,566.8,0.738,1.28691,0.00043
6.18,1.926,0.819,422.8,346.6,0.982,1.35264,0.00038
2.08,1.809,0.768,983.7,519.4,0.816,1.09315,0.00043
1.88,1.324,0.551,1162.4,465.0,0.884,1.06469,0.00039
8.5,1.518,0.574,1031.2,374.2,0.964,1.44755,0.00038
5.26,1.916,0.286,493.2,309.0,1.0,1.29122,0.00033
3.25,1.829,0.656,777.8,471.7,0.876,1.36324,0.00043
8.42,1.286,0.395,536.0,483.0,0.863,1.55566,0.00032
2.7,1.515,0.351,629.8,543.3,0.78,1.34345,0.00037
5.53,1.615,0.282,1019.5,382.3,0.959,1.42666,0.00039
8.98,1.735,0.413,1069.4,585.6,0.698,1.61401,0.00035
8.05,1.671,0.473,889.4,484.9,0.861,1.5869,0.00036
1.77,1.111,0.292,474.7,321.5,0.995,1.20812,0.00041
3.07,1.446,0.545,979.6,376.7,0.963,1.30619,0.0004
2.71,1.902,0.715,633.2,573.2,0.725,1.26391,0.00044
6.72,1.81,0.562,406.9,325.4,0.993,1.57219,0.00035
5.02,1.794,0.559,1127.3,540.3,0.785,1.47567,0.00039
2.06,1.306,0.495,1176.7,380.9,0.96,1.19799,0.0004
8.39,1.589,0.468,902.4,460.6,0.888,1.57975,0.00035
7.42,1.476,0.661,643.4,579.2,0.713,1.18479,0.00036
8.73,1.766,0.583,918.9,535.3,0.793,1.5224,0.00038
5.26,1.729,0.208,814.0,530.9,0.8,1.22317,0.00041
8.63,1.13,0.296,960.1,558.1,0.755,1.57152,0.00038
6.96,1.648,0.435,754.1,471.4,0.876,1.58317,0.00036
6.45,1.525,0.656,495.2,480.7,0.866,1.27081,0.00044
2.56,1.933,0.276,349.9,313.9,0.998,0.95723,0.00032
5.39,1.674,0.471,1674.6,533.7,0.795,1.50534,0.00043
3.15,1.196,0.519,1124.2,448.4,0.901,1.07902,0.00039
2.38,1.342,0.586,1043.8,454.9,0.894,1.04763,0.00042
4.86,1.759,0.352,1107.4,483.4,0.863,1.46414,0.0004
1.81,1.996,0.386,409.8,349.2,0.981,1.04436,0.00034
2.33,1.974,0.524,1218.4,473.5,0.874,1.31301,0.00042
5.83,1.804,0.271,714.5,509.6,0.83,1.39901,0.00039
2.58,1.819,0.585,1469.5,416.3,0.931,1.34333,0.00042
7.02,1.745,0.712,980.0,399.3,0.945,1.36813,0.00042
3.8,1.581,0.539,1076.5,515.0,0.822,1.38551,0.00045
2.97,1.392,0.268,1554.0,544.1,0.779,1.29552,0.00042
1.65,1.206,0.331,1311.7,456.3,0.893,1.17983,0.00037
1.7,1.007,0.223,772.3,403.6,0.942,1.11596,0.00034
7.01,1.135,0.484,367.9,302.5,1.002,1.28752,0.00035
8.29,1.719,0.691,735.4,430.8,0.918,1.40337,0.00046
8.98,1.252,0.447,1042.4,508.5,0.831,1.43887,0.00033
5.55,1.858,0.21,384.0,302.3,1.002,1.09665,0.00041
7.13,1.343,0.577,840.7,320.0,0.996,1.28322,0.00039
7.73,1.869,0.802,1142.1,387.1,0.955,1.32719,0.00035
4.36,1.747,0.328,1184.0,552.7,0.764,1.42514,0.00039
4.06,1.46,0.506,1672.3,505.5,0.835,1.36581,0.00046
5.78,1.086,0.41,652.1,467.8,0.88,1.34843,0.00043
5.0,1.862,0.626,1654.2,404.0,0.942,1.4642,0.0004
2.02,1.256,0.368,324.5,308.2,1.0,1.28862,0.00039
1.91,1.273,0.228,493.4,464.7,0.884,1.05342,0.00037
3.96,1.76,0.334,1309.5,426.4,0.922,1.36,0.00035
7.25,1.214,0.436,1271.6,332.0,0.99,1.44274,0.00036
3.22,1.204,0.286,1418.5,432.2,0.917,1.37621,0.00039
4.76,1.603,0.264,348.7,309.9,1.0,1.33837,0.00045
2.66,1.243,0.486,1787.6,500.0,0.842,1.16744,0.00041
1.41,1.08,0.347,376.9,357.0,0.976,1.15968,0.00035
2.88,1.525,0.242,1710.4,394.3,0.949,1.11204,0.00036
1.58,1.839,0.489,1105.3,429.4,0.919,1.16817,0.00038
2.77,1.652,0.302,1217.3,406.3,0.94,1.19903,0.00036
1.68,1.147,0.313,519.1,366.8,0.97,1.199,0.00041
7.85,1.64,0.213,1368.4,307.7,1.001,1.34704,0.00041
6.44,1.949,0.364,1610.2,574.6,0.723,1.53505,0.00039
2.92,1.286,0.25,788.1,597.0,0.668,1.32503,0.00033
3.18,1.288,0.467,1765.7,397.5,0.947,1.30168,0.00044
7.8,1.445,0.431,1215.3,577.1,0.717,1.51631,0.00036
8.17,1.37,0.286,1378.4,570.8,0.73,1.59636,0.00038
1.46,1.138,0.342,1459.4,330.0,0.991,1.14461,0.00036
4.85,1.305,0.388,441.4,335.5,0.988,1.5105,0.00039
5.77,1.839,0.538,443.5,338.5,0.987,1.55869,0.00042
5.02,1.429,0.356,1789.0,343.8,0.984,1.50063,0.00039
3.44,1.116,0.312,902.9,575.5,0.721,1.39283,0.00041
1.29,1.731,0.221,313.3,307.8,1.001,0.57834,0.00027
3.23,1.389,0.502,552.7,445.6,0.904,1.34371,0.00041
1.86,1.918,0.499,783.6,393.3,0.95,1.22639,0.00039
8.02,1.991,0.212,582.8,526.1,0.807,1.28698,0.00043
7.74,1.227,0.403,819.1,425.5,0.923,1.50917,0.00038
8.26,1.294,0.468,1367.3,505.5,0.835,1.41672,0.00039
1.89,1.583,0.308,1491.2,359.6,0.974,1.06471,0.00038
6.12,1.625,0.437,1676.6,595.0,0.674,1.5149,0.00036
2.61,1.94,0.558,913.2,588.4,0.691,1.35524,0.00042
7.76,1.034,0.214,1727.4,576.5,0.718,1.56771,0.00042
4.72,1.012,0.258,691.1,504.9,0.836,1.48861,0.00031
4.98,1.677,0.741,863.1,524.0,0.81,1.17185,0.00039
8.69,1.853,0.409,1252.0,584.5,0.7,1.61619,0.00037
6.41,1.461,0.401,337.3,327.4,0.992,1.57938,0.00037
8.12,1.254,0.305,433.2,366.3,0.97,1.61626,0.00036
1.57,1.027,0.414,1463.3,393.6,0.95,1.02789,0.0004
2.09,1.499,0.57,1410.5,535.0,0.793,1.16701,0.00042
1.2,1.896,0.33,1504.9,418.0,0.93,0.7887,0.0003
2.67,1.569,0.606,1446.4,453.8,0.895,1.23825,0.00046
5.94,1.728,0.612,1603.4,510.2,0.829,1.42529,0.0004
3.79,1.06,0.375,331.5,326.0,0.993,1.38472,0.00042
8.53,1.799,0.618,1252.1,427.4,0.921,1.51973,0.00037
2.39,1.52,0.685,1075.4,509.8,0.83,0.99239,0.00039
3.84,1.136,0.414,575.4,510.3,0.829,1.32084,0.00044
4.85,1.17,0.259,480.3,303.1,1.002,1.49077,0.00036
2.9,1.545,0.389,634.7,468.7,0.879,1.37899,0.00036
8.13,1.272,0.498,693.8,504.7,0.836,1.36473,0.00042
1.34,1.303,0.517,734.5,447.6,0.902,1.0537,0.00044
7.44,1.966,0.846,1046.4,308.5,1.0,1.34192,0.00037
8.51,1.27,0.389,1382.2,480.6,0.866,1.53201,0.0004
5.77,1.389,0.606,1290.5,434.8,0.914,1.19806,0.0004
