Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
3.82,1.944,0.24,1570.8,537.1,0.79,1.09865,0.00041
3.28,1.941,0.729,663.8,333.6,0.989,1.36935,0.00041
8.19,1.485,0.51,1357.6,588.0,0.692,1.4299,0.00042
7.67,1.493,0.429,614.5,452.1,0.897,1.58246,0.00033
6.68,1.445,0.276,815.7,557.2,0.756,1.556,0.00037
4.01,1.377,0.344,684.3,437.7,0.911,1.46571,0.00039
2.14,1.392,0.377,573.0,520.1,0.815,1.29259,0.00042
2.48,1.305,0.573,1540.4,586.1,0.697,0.95099,0.00039
8.33,1.381,0.405,858.0,534.9,0.794,1.5551,0.00034
5.39,1.026,0.34,493.9,371.8,0.966,1.4628,0.00036
8.04,1.431,0.466,930.4,467.5,0.881,1.52117,0.00039
6.67,1.506,0.369,1216.5,354.7,0.977,1.5689,0.00041
1.57,1.51,0.272,396.6,305.0,1.002,0.93255,0.0003
5.37,1.377,0.609,309.8,303.0,1.002,1.23615,0.00038
4.35,1.951,0.397,1022.1,319.4,0.996,1.40575,0.00042
6.58,1.974,0.259,1278.7,567.3,0.737,1.38739,0.00039
8.52,1.054,0.312,565.3,346.0,0.983,1.5732,0.00033
3.28,1.601,0.67,1070.2,347.7,0.982,1.22566,0.00042
1.61,1.449,0.65,473.6,366.8,0.97,0.98896,0.00044
1.35,1.813,0.77,1413.8,355.7,0.977,1.03112,0.00046
3.87,1.9,0.356,1299.1,410.2,0.936,1.33847,0.0004
1.47,1.851,0.317,701.0,422.3,0.926,0.87571,0.00033
3.06,1.802,0.329,1118.9,490.6,0.854,1.26227,0.00042
1.68,1.5,0.411,1449.9,565.5,0.741,1.19572,0.00041
2.67,1.592,0.393,976.3,400.2,0.945,1.33558,0.00038
8.3,1.301,0.211,1435.5,563.9,0.744,1.56,0.0004
8.79,1.699,0.604,488.7,395.1,0.949,1.52696,0.00037
3.25,1.37,0.224,1316.8,494.1,0.85,1.22347,0.00036
8.87,1.483,0.204,453.9,365.3,0.971,1.45271,0.00035
1.96,1.334,0.549,441.6,433.7,0.915,1.12992,0.00043
1.48,1.666,0.578,567.4,392.5,0.951,1.18464,0.00044
5.1,1.432,0.458,1760.9,334.0,0.989,1.47153,0.00037
4.83,1.236,0.538,1561.5,358.0,0.975,1.15888,0.00042
4.1,1.291,0.334,1756.1,305.4,1.001,1.4527,0.00038
5.91,1.446,0.327,1719.2,313.0,0.999,1.52518,0.00038
3.24,1.988,0.738,1607.1,307.8,1.001,1.3543,0.00042
8.62,1.98,0.347,539.8,396.9,0.947,1.54978,0.00035
6.81,1.507,0.605,814.5,471.7,0.876,1.34768,0.00043
4.97,1.214,0.401,668.2,339.3,0.986,1.46561,0.00039
5.86,1.13,0.336,1429.6,377.1,0.962,1.50179,0.00037
7.16,1.332,0.273,1642.3,348.9,0.981,1.55179,0.00035
7.26,1.044,0.27,749.7,383.6,0.958,1.57598,0.00043
6.24,1.99,0.448,562.9,514.4,0.823,1.56802,0.00036
2.06,1.194,0.401,1145.7,468.4,0.88,1.23798,0.00043
2.41,1.574,0.609,621.8,474.2,0.873,1.2377,0.00043
4.63,1.926,0.393,1518.4,585.1,0.699,1.47603,0.00035
3.73,1.082,0.241,300.7,300.5,1.003,1.41904,0.00041
6.59,1.325,0.377,1352.7,404.9,0.941,1.54294,0.0004
1.51,1.831,0.724,1461.5,382.0,0.959,1.1211,0.00045
2.6,1.753,0.354,1410.1,476.9,0.87,1.24645,0.00035
8.57,1.623,0.487,1094.6,363.6,0.972,1.58526,0.00038
4.09,1.853,0.343,1731.1,447.8,0.901,1.35823,0.00035
4.84,1.055,0.39,477.8,338.8,0.987,1.38002,0.00039
5.86,1.636,0.585,1501.5,378.4,0.961,1.44555,0.0004
2.62,1.248,0.529,732.8,376.4,0.963,1.13265,0.00044
3.63,1.927,0.369,573.0,554.1,0.762,1.38091,0.0004
5.53,1.848,0.22,1265.2,498.1,0.845,1.20656,0.00042
7.18,1.378,0.267,1553.4,551.0,0.767,1.56246,0.00038
2.17,1.21,0.277,590.2,508.0,0.832,1.25064,0.00042
2.85,1.173,0.344,1483.9,365.9,0.97,1.35773,0.00038
2.29,1.057,0.296,307.4,304.7,1.002,1.31781,0.00035
7.95,1.499,0.35,796.2,367.9,0.969,1.60621,0.00042
8.06,1.79,0.539,1407.4,339.5,0.986,1.57816,0.00037
5.77,1.825,0.392,1370.2,316.4,0.997,1.5068,0.00044
6.19,1.174,0.21,1360.2,547.7,0.773,1.50774,0.00039
6.01,1.116,0.448,1539.2,318.7,0.996,1.29376,0.00044
7.64,1.052,0.314,1000.7,310.2,1.0,1.54589,0.0004
7.99,1.447,0.538,1074.8,404.2,0.941,1.441,0.0004
1.08,1.784,0.344,766.9,573.9,0.724,0.88813,0.00032
8.85,1.06,0.216,302.1,301.2,1.003,1.61784,0.00034
6.75,1.57,0.498,321.5,302.8,1.002,1.56303,0.00038
4.39,1.678,0.767,1315.4,506.3,0.834,1.0861,0.00036
1.07,1.21,0.335,1113.9,516.9,0.82,1.01972,0.00031
2.79,1.058,0.259,1569.0,471.3,0.877,1.33098,0.0004
7.09,1.606,0.695,1378.3,368.7,0.968,1.2788,0.00041
2.68,1.958,0.358,738.7,350.9,0.98,1.17089,0.00039
7.08,1.753,0.742,777.7,511.1,0.828,1.30081,0.00042
2.04,1.596,0.409,1129.6,401.0,0.944,1.24905,0.00034
3.14,1.017,0.398,1219.4,492.6,0.852,1.17865,0.00044
1.99,1.923,0.829,919.2,525.4,0.808,1.07105,0.00042
3.47,1.797,0.299,577.9,526.8,0.806,1.27713,0.00036
3.35,1.821,0.489,1202.5,441.2,0.908,1.42195,0.00042
3.65,1.895,0.845,503.2,406.9,0.939,1.18803,0.00038
2.94,1.672,0.575,516.5,456.3,0.893,1.36756,0.0004
6.67,1.675,0.225,1173.4,306.6,1.001,1.30929,0.00039
8.06,1.425,0.407,1334.2,518.6,0.817,1.55603,0.00036
6.85,1.947,0.229,1125.9,458.6,0.89,1.25882,0.00038
2.52,1.425,0.374,319.1,301.9,1.003,1.34305,0.00037
2.82,1.064,0.357,1294.2,593.3,0.678,1.24673,0.00037
4.51,1.875,0.814,338.8,330.1,0.991,1.28593,0.00036
1.23,1.043,0.444,991.1,415.9,0.931,0.91299,0.00037
7.9,1.648,0.239,1642.7,559.2,0.753,1.49838,0.00037
5.92,1.126,0.225,1364.6,591.6,0.683,1.52218,0.00037
5.1,1.74,0.227,656.3,528.0,0.804,1.26953,0.00037
6.6,1.592,0.379,1544.5,471.5,0.876,1.56352,0.00043
6.93,1.633,0.54,719.7,516.6,0.82,1.50258,0.00039
8.67,1.398,0.388,1684.6,407.5,0.939,1.58345,0.00038
1.24,1.363,0.517,475.5,403.0,0.942,1.08743,0.00043
1.35,1.403,0.269,1263.1,367.5,0.969,0.90845,0.00036
7.42,1.705,0.724,545.5,535.7,0.792,1.30041,0.00047
4.66,1.512,0.392,1211.1,349.9,0.98,1.49684,0.0004
6.99,1.732,0.252,913.9,427.9,0.921,1.41112,0.00039
2.37,1.074,0.405,334.7,324.4,0.994,1.24983,0.00044
8.21,1.303,0.532,1571.2,344.8,0.983,1.33499,0.00043
1.54,1.755,0.747,1283.5,486.5,0.859,1.02585,0.0004
5.73,1.18,0.376,1004.6,437.7,0.911,1.47547,0.00035
7.53,1.994,0.565,1092.4,452.9,0.896,1.58653,0.00035
4.17,1.924,0.51,523.3,446.7,0.903,1.49234,0.0004
7.09,1.513,0.336,1491.4,417.0,0.931,1.57013,0.00038
6.95,1.786,0.691,393.1,301.9,1.003,1.46142,0.00036
5.01,1.708,0.566,1385.5,455.9,0.893,1.45989,0.00038
8.15,1.857,0.392,1174.0,332.0,0.99,1.58338,0.00035
5.17,1.612,0.616,1486.7,349.8,0.98,1.38085,0.00044
7.27,1.272,0.318,1615.5,560.3,0.751,1.55502,0.00038
6.75,1.145,0.328,1641.0,485.5,0.86,1.51443,0.00041
7.33,1.384,0.47,1068.8,435.1,0.914,1.48733,0.00039
7.73,1.481,0.411,785.1,440.6,0.909,1.58708,0.00038
4.46,1.718,0.446,670.9,418.1,0.93,1.50128,0.00035
3.89,1.672,0.637,312.1,311.4,0.999,1.39232,0.00045
1.71,1.068,0.383,1290.9,549.1,0.771,1.11499,0.00044
7.75,1.545,0.493,1370.1,561.8,0.748,1.49297,0.00038
4.27,1.7,0.651,1493.2,536.5,0.791,1.30407,0.00044
7.96,1.979,0.522,475.9,348.5,0.981,1.61685,0.00038
8.86,1.182,0.299,846.7,363.9,0.971,1.61279,0.00038
3.04,1.098,0.429,898.2,516.6,0.82,1.19031,0.00045
7.54,1.672,0.414,430.7,337.3,0.987,1.60786,0.00034
3.53,1.308,0.263,469.0,390.2,0.953,1.36098,0.00034
1.51,1.153,0.316,1173.5,510.1,0.829,1.14869,0.0004
5.85,1.425,0.516,1363.4,577.7,0.716,1.35213,0.00045
1.8,1.787,0.537,1630.1,531.9,0.798,1.2309,0.00046
2.34,1.827,0.404,1791.1,487.6,0.858,1.24817,0.00038
1.15,1.736,0.524,1280.9,386.7,0.955,1.07514,0.00036
3.34,1.584,0.273,966.5,466.5,0.882,1.25852,0.00036
2.2,1.236,0.476,1602.0,520.0,0.816,1.14062,0.00047
3.09,1.696,0.316,1438.9,437.5,0.912,1.25957,0.00039
1.95,1.737,0.35,1118.8,348.9,0.981,1.1014,0.0004
7.95,1.614,0.514,1116.8,331.9,0.99,1.55647,0.0004
5.17,1.269,0.527,387.2,353.0,0.978,1.29567,0.00042
2.93,1.273,0.369,1200.4,597.5,0.667,1.34132,0.00041
7.26,1.291,0.224,1504.9,309.3,1.0,1.49991,0.0004
4.57,1.529,0.499,1732.6,506.3,0.834,1.42318,0.00041
3.92,1.054,0.273,1110.2,591.4,0.683,1.42103,0.00041
8.33,1.3,0.26,660.6,381.1,0.959,1.59616,0.00037
6.92,1.95,0.342,889.3,393.3,0.95,1.48915,0.00038
6.4,1.014,0.282,1491.6,533.0,0.796,1.49885,0.00032
8.83,1.663,0.353,1612.6,478.2,0.869,1.60932,0.0004
1.1,1.55,0.225,1299.0,568.6,0.735,0.69681,0.00028
4.87,1.953,0.608,527.1,437.3,0.912,1.51289,0.00037
3.5,1.262,0.315,1464.6,549.7,0.77,1.40935,0.00039
4.14,1.109,0.4,651.4,589.7,0.688,1.28759,0.0004
4.26,1.494,0.361,1070.7,505.4,0.835,1.4734,0.0004
8.17,1.464,0.433,1009.9,379.7,0.961,1.5774,0.00043
2.23,1.386,0.474,847.4,561.2,0.749,1.24726,0.00045
2.61,1.339,0.382,1006.1,533.3,0.796,1.33996,0.00041
8.31,1.506,0.457,1519.2,308.7,1.0,1.56745,0.00036
4.9,1.437,0.218,711.9,488.8,0.856,1.34394,0.00032
8.37,1.519,0.611,1730.4,543.9,0.779,1.31569,0.00039
6.36,1.273,0.222,879.4,386.5,0.955,1.48108,0.00039
2.97,1.021,0.431,1229.9,484.1,0.862,1.06546,0.00042
7.77,1.214,0.416,328.4,324.7,0.994,1.51873,0.00037
1.65,1.241,0.379,1587.7,539.0,0.787,1.17597,0.00041
1.56,1.4,0.336,1305.5,402.4,0.943,1.11353,0.00037
4.68,1.3,0.274,1366.2,411.0,0.936,1.45816,0.00042
1.11,1.057,0.255,750.7,436.4,0.913,0.97853,0.00031
8.06,1.203,0.451,1609.7,583.3,0.703,1.3239,0.00039
7.81,1.226,0.515,582.5,531.3,0.799,1.26956,0.0004
7.02,1.757,0.761,864.7,428.5,0.92,1.29315,0.0004
6.18,1.073,0.434,1245.2,302.4,1.002,1.28865,0.00045
3.5,1.525,0.377,480.1,372.8,0.965,1.43023,0.00039
5.52,1.17,0.476,943.1,428.2,0.92,1.27151,0.00049
5.02,1.471,0.634,1292.7,400.1,0.945,1.21483,0.00041
7.48,1.286,0.423,589.8,386.5,0.955,1.52436,0.0004
5.77,1.699,0.645,1430.2,483.8,0.862,1.37788,0.00044
7.67,1.172,0.405,380.0,372.9,0.965,1.50028,0.00038
6.34,1.248,0.378,1187.5,485.3,0.86,1.50264,0.00043
4.59,1.427,0.317,767.5,598.8,0.663,1.49275,0.00043
7.03,1.872,0.435,1756.2,555.8,0.759,1.57521,0.00038
5.01,1.85,0.342,775.3,309.5,1.0,1.40887,0.0004
5.64,1.291,0.536,1536.3,364.2,0.971,1.26171,0.00044
7.98,1.003,0.233,922.5,578.7,0.714,1.57444,0.00038
1.26,1.195,0.284,858.7,308.1,1.001,1.01508,0.00039
4.97,1.212,0.218,386.3,356.0,0.977,1.42185,0.00045
4.18,1.347,0.275,1315.3,382.2,0.959,1.40856,0.00039
7.07,1.968,0.344,672.5,546.8,0.774,1.54027,0.00038
7.53,1.068,0.286,621.4,514.7,0.823,1.56497,0.00036
7.22,1.652,0.203,1563.2,361.8,0.973,1.28572,0.00034
7.29,1.838,0.591,488.5,320.3,0.996,1.57023,0.00036
1.25,1.763,0.666,569.1,355.3,0.977,1.11586,0.00042
2.52,1.657,0.383,1444.1,410.6,0.936,1.28514,0.00046
8.24,1.102,0.3,524.4,518.3,0.818,1.5763,0.00036
2.26,1.73,0.611,317.2,311.0,0.999,1.32331,0.0004
1.55,1.684,0.356,876.9,493.4,0.851,1.0658,0.00041
6.88,1.977,0.506,1109.4,577.0,0.717,1.57193,0.00033
3.8,1.676,0.719,976.3,425.9,0.923,1.20799,0.00042
1.26,1.283,0.248,922.3,542.1,0.782,0.93714,0.00034
4.12,1.007,0.368,744.7,351.8,0.979,1.34343,0.00042
6.73,1.788,0.752,1280.1,362.5,0.972,1.32873,0.00047
6.84,1.035,0.228,1254.6,449.3,0.9,1.55786,0.00037
6.05,1.564,0.656,1534.1,449.0,0.9,1.27048,0.0004
1.54,1.316,0.279,1196.5,356.3,0.976,1.03536,0.00035
7.22,1.44,0.403,1130.5,527.6,0.805,1.55259,0.00039
3.52,1.203,0.333,1001.6,319.7,0.996,1.42761,0.00045
3.78,1.973,0.767,865.3,455.4,0.894,1.33943,0.00043
4.15,1.721,0.687,822.2,502.0,0.84,1.29601,0.00042
8.11,1.263,0.414,848.0,541.9,0.782,1.48275,0.00039
7.44,1.468,0.211,1448.0,409.7,0.937,1.42417,0.00042
2.1,1.596,0.657,1537.3,317.1,0.997,1.15468,0.0004
7.91,1.902,0.527,1051.5,375.0,0.964,1.60024,0.00042
2.44,1.136,0.415,1423.1,560.5,0.75,1.18078,0.00045
7.28,1.125,0.36,565.5,376.3,0.963,1.52468,0.00038
5.88,1.002,0.313,421.4,340.8,0.986,1.50731,0.00035
2.3,1.366,0.35,565.6,497.2,0.846,1.3067,0.00039
3.65,1.826,0.268,1259.4,318.4,0.997,1.13076,0.00036
4.97,1.003,0.225,506.5,350.0,0.98,1.49906,0.00037
5.9,1.798,0.205,1167.2,373.4,0.965,1.14495,0.00041
5.15,1.47,0.227,583.9,424.3,0.924,1.35215,0.00035
3.2,1.315,0.536,1263.1,598.0,0.665,1.10687,0.00044
4.92,1.385,0.341,1511.5,574.6,0.723,1.49214,0.00039
4.05,1.297,0.47,581.1,301.6,1.003,1.39414,0.00034
6.28,1.962,0.392,1337.9,513.5,0.825,1.53408,0.00041
1.37,1.432,0.492,1515.1,315.1,0.998,1.13456,0.00043
2.05,1.063,0.447,1454.6,395.8,0.948,1.03354,0.00046
3.69,1.398,0.237,777.4,357.2,0.976,1.26658,0.00038
4.1,1.692,0.567,1179.0,390.8,0.952,1.43589,0.00044
4.95,1.054,0.334,1319.0,393.2,0.95,1.44429,0.00039
5.32,1.844,0.8,1270.8,463.7,0.885,1.23493,0.00035
7.59,1.535,0.635,515.1,509.3,0.83,1.33111,0.00036
2.76,1.776,0.58,582.0,470.1,0.878,1.37018,0.0004
8.91,1.971,0.374,573.7,420.2,0.928,1.59022,0.00035
3.78,1.569,0.565,1733.0,379.3,0.961,1.36631,0.00041
6.22,1.95,0.512,676.6,462.0,0.887,1.57121,0.0004
7.22,1.512,0.623,1410.1,498.2,0.845,1.29587,0.0004
7.91,1.823,0.494,733.6,349.8,0.98,1.60713,0.00034
1.08,1.231,0.245,1405.5,442.1,0.907,0.84839,0.00032
7.45,1.696,0.374,445.2,345.1,0.983,1.5901,0.00039
5.21,1.118,0.451,805.3,407.1,0.939,1.27889,0.00042
2.26,1.628,0.648,617.4,331.2,0.991,1.23294,0.00042
7.2,1.838,0.701,489.8,450.1,0.899,1.4507,0.00039
1.84,1.561,0.376,992.9,373.9,0.965,1.18486,0.00038
7.62,1.742,0.348,1109.7,300.6,1.003,1.55442,0.00039
5.33,1.092,0.315,380.5,316.7,0.997,1.52611,0.00041
6.2,1.892,0.867,645.6,576.4,0.719,1.15594,0.00047
2.03,1.956,0.86,469.5,461.2,0.888,1.09584,0.00041
8.82,1.312,0.375,801.4,580.2,0.71,1.54957,0.00042
7.17,1.236,0.518,442.4,382.3,0.959,1.31336,0.00043
5.88,1.199,0.481,1790.8,509.1,0.83,1.24746,0.00041
4.75,1.549,0.525,1456.7,494.2,0.85,1.41985,0.00037
8.09,1.276,0.32,505.1,487.6,0.858,1.60703,0.0004
5.1,1.546,0.343,467.1,396.2,0.948,1.50975,0.00037
3.27,1.892,0.651,855.8,500.4,0.842,1.37931,0.00037
4.5,1.882,0.2,1201.8,590.3,0.686,1.11017,0.00039
1.83,1.57,0.433,1365.5,441.5,0.908,1.22779,0.00037
7.03,1.009,0.334,801.4,495.8,0.848,1.45328,0.00037
1.78,1.814,0.822,1228.1,444.0,0.905,0.98005,0.00041
8.37,1.637,0.337,1438.3,582.5,0.705,1.6053,0.00036
4.62,1.804,0.489,1686.5,527.0,0.805,1.4885,0.00038
6.17,1.934,0.893,906.8,468.2,0.88,1.18217,0.00039
8.15,1.14,0.356,1141.0,314.3,0.998,1.53791,0.00039
8.35,1.126,0.253,1403.3,303.6,1.002,1.59628,0.00041
3.69,1.15,0.308,612.9,360.5,0.974,1.44601,0.00047
1.4,1.728,0.665,418.4,342.8,0.984,1.1484,0.00038
1.44,1.363,0.347,719.4,537.7,0.789,1.13128,0.00036
3.2,1.566,0.456,1441.6,482.0,0.864,1.39785,0.00039
4.71,1.432,0.558,630.7,312.1,0.999,1.36659,0.00041
3.71,1.969,0.248,745.2,498.7,0.844,1.08099,0.00034
4.83,1.325,0.567,1114.4,420.2,0.928,1.20153,0.00048
7.81,1.322,0.511,646.5,420.4,0.927,1.40384,0.00041
2.26,1.351,0.504,1510.9,378.2,0.962,1.22727,0.0004
3.62,1.982,0.326,1445.4,477.4,0.87,1.25221,0.00042
5.8,1.639,0.715,1412.2,515.1,0.822,1.19778,0.00049
6.15,1.784,0.368,1569.8,545.4,0.777,1.5398,0.00041
4.1,1.856,0.675,302.1,301.7,1.003,1.44329,0.00039
8.31,1.431,0.39,1136.5,420.7,0.927,1.59328,0.00041
7.17,1.747,0.438,519.3,445.3,0.904,1.59896,0.0003
6.81,1.234,0.311,534.1,459.4,0.89,1.57829,0.00033
5.56,1.735,0.591,706.1,398.1,0.946,1.49117,0.00036
5.55,1.818,0.716,394.5,355.3,0.977,1.41492,0.00043
2.8,1.613,0.489,561.4,544.9,0.778,1.37354,0.00042
7.41,1.231,0.471,1237.5,357.2,0.976,1.38767,0.00043
5.74,1.725,0.483,1579.4,590.5,0.686,1.50256,0.00044
2.12,1.253,0.534,990.8,511.2,0.828,1.03146,0.0004
5.06,1.63,0.647,1316.1,512.6,0.826,1.30131,0.00042
7.11,1.405,0.299,502.2,349.7,0.98,1.57577,0.00036
6.26,1.142,0.266,913.6,309.8,1.0,1.55133,0.00044
2.35,1.142,0.291,1278.1,536.3,0.791,1.29116,0.00043
1.66,1.043,0.248,764.1,537.1,0.79,1.15637,0.00041
3.29,1.568,0.556,1333.7,530.9,0.8,1.32147,0.00046
1.94,1.511,0.597,829.2,422.0,0.926,1.17253,0.00044
7.98,1.672,0.305,559.5,475.8,0.872,1.57238,0.00034
3.26,1.551,0.323,1103.8,456.7,0.892,1.3463,0.00036
1.49,1.234,0.224,421.1,388.9,0.954,0.93114,0.00034
2.44,1.707,0.376,304.9,304.2,1.002,1.25658,0.00039
6.42,1.114,0.416,1365.9,349.3,0.981,1.37996,0.00045
7.38,1.056,0.276,1710.0,544.1,0.779,1.53341,0.00038
6.05,1.088,0.33,1249.7,389.3,0.953,1.49768,0.00034
8.19,1.62,0.512,515.0,329.3,0.992,1.58048,0.00039
6.09,1.41,0.237,881.0,439.9,0.909,1.45835,0.00036
3.28,1.395,0.234,1041.9,501.4,0.841,1.2498,0.00036
1.7,1.83,0.364,637.2,524.6,0.809,1.0851,0.00037
2.32,1.705,0.415,627.2,522.0,0.813,1.30318,0.00038
2.09,1.019,0.201,1349.4,388.5,0.954,1.12838,0.00037
4.32,1.731,0.765,1401.4,442.3,0.907,1.16804,0.00044
7.43,1.117,0.35,1419.4,370.2,0.967,1.51259,0.00045
7.99,1.362,0.51,1450.1,418.6,0.929,1.4142,0.00039
1.97,1.498,0.428,352.0,323.4,0.994,1.27974,0.00039
1.37,1.45,0.284,978.5,331.0,0.991,0.92825,0.00034
7.91,1.838,0.761,1330.2,514.7,0.823,1.32896,0.00036
8.76,1.769,0.629,499.8,385.9,0.956,1.53128,0.00043
3.99,1.684,0.593,1611.6,522.2,0.812,1.36419,0.00043
6.08,1.963,0.411,979.5,412.1,0.935,1.52632,0.00034
8.09,1.575,0.569,885.2,381.8,0.959,1.4861,0.0004
6.13,1.205,0.416,1586.1,310.5,1.0,1.44529,0.00044
1.53,1.861,0.825,629.5,509.1,0.83,0.98882,0.0004
1.44,1.531,0.582,372.7,300.4,1.003,1.15869,0.00036
4.82,1.994,0.397,439.1,322.5,0.995,1.4345,0.00039
2.37,1.538,0.636,1112.7,473.0,0.875,1.14311,0.00041
5.82,1.848,0.297,1231.4,554.3,0.762,1.44953,0.00038
8.0,1.36,0.26,1705.4,405.6,0.94,1.56464,0.00037
1.53,1.512,0.399,941.8,418.7,0.929,1.15269,0.00028
4.14,1.629,0.495,540.2,515.5,0.822,1.46627,0.00037
2.65,1.092,0.36,1439.3,467.7,0.881,1.29305,0.00038
3.25,1.998,0.525,1618.3,490.9,0.854,1.40883,0.0004
4.63,1.881,0.666,458.4,416.4,0.931,1.45832,0.00044
6.67,1.579,0.209,1637.0,437.0,0.912,1.33777,0.00042
5.99,1.223,0.492,339.0,306.3,1.001,1.35684,0.00044
2.53,1.803,0.305,665.0,379.0,0.961,1.10111,0.00037
6.16,1.79,0.58,693.8,463.9,0.885,1.52031,0.00043
2.86,1.113,0.244,1222.9,450.9,0.898,1.31535,0.00039
1.92,1.12,0.239,1677.4,323.8,0.994,1.12668,0.00041
3.97,1.592,0.391,1202.4,370.9,0.967,1.4504,0.00037
1.28,1.137,0.318,1710.4,544.6,0.778,1.07865,0.00041
2.4,1.234,0.482,854.2,498.5,0.844,1.17545,0.00047
7.42,1.144,0.339,1187.1,307.2,1.001,1.54762,0.00039
5.85,1.959,0.677,1195.9,378.0,0.962,1.48992,0.00039
4.12,1.929,0.68,1616.9,555.6,0.759,1.36929,0.0004
8.97,1.655,0.418,1116.5,525.7,0.807,1.6128,0.00033
6.72,1.06,0.286,1037.4,379.6,0.961,1.55163,0.00039
8.43,1.667,0.543,1738.4,326.3,0.993,1.54378,0.00036
5.15,1.349,0.448,1147.8,538.3,0.788,1.42015,0.00038
6.46,1.66,0.657,1634.0,488.6,0.857,1.3409,0.00034
6.75,1.176,0.387,1789.1,306.1,1.001,1.47875,0.00039
2.46,1.362,0.537,1377.9,328.7,0.992,1.21075,0.00043
7.3,1.911,0.674,1019.4,341.3,0.985,1.51194,0.00035
2.18,1.16,0.202,745.4,456.6,0.892,1.08894,0.00029
6.36,1.843,0.205,381.2,339.5,0.986,1.14832,0.0004
3.21,1.454,0.353,754.0,386.9,0.955,1.3938,0.00046
5.65,1.076,0.427,753.9,482.8,0.863,1.28181,0.00044
6.26,1.283,0.308,803.0,384.5,0.957,1.5603,0.00041
7.72,1.169,0.491,737.1,332.6,0.99,1.30328,0.00045
4.91,1.815,0.788,1336.0,513.2,0.825,1.1979,0.00042
8.95,1.769,0.285,1160.0,464.6,0.884,1.54216,0.00035
3.88,1.813,0.634,1562.8,304.4,1.002,1.41294,0.00046
2.6,1.747,0.702,1093.9,411.0,0.936,1.23125,0.00046
7.13,1.742,0.69,826.9,313.7,0.998,1.41984,0.00039
2.47,1.072,0.405,1532.8,442.2,0.907,1.18727,0.00039
8.95,1.952,0.885,1274.9,500.8,0.841,1.2549,0.00038
6.1,1.064,0.343,1759.3,303.0,1.002,1.46579,0.00037
6.42,1.755,0.631,1745.9,425.4,0.923,1.44681,0.00043
4.66,1.882,0.328,1275.4,440.6,0.909,1.37245,0.00044
5.48,1.866,0.534,728.3,597.8,0.666,1.50955,0.00041
4.49,1.264,0.559,848.5,453.6,0.896,1.12853,0.00041
6.09,1.6,0.604,1279.7,433.5,0.915,1.39915,0.00039
8.16,1.028,0.327,436.4,338.9,0.987,1.54162,0.0004
6.78,1.718,0.647,1741.2,304.3,1.002,1.43401,0.00045
1.14,1.951,0.878,682.9,461.5,0.887,0.92063,0.00037
4.53,1.77,0.75,1357.9,465.1,0.883,1.2359,0.00043
6.16,1.728,0.649,378.0,336.7,0.988,1.46526,0.0004
6.75,1.665,0.62,477.7,371.1,0.967,1.46967,0.00042
1.22,1.076,0.394,1333.7,466.1,0.882,1.03422,0.00035
8.02,1.795,0.682,1273.2,322.1,0.995,1.45849,0.00039
6.96,1.626,0.554,714.5,332.4,0.99,1.52146,0.00037
6.83,1.839,0.245,1470.8,321.2,0.995,1.30428,0.00035
8.44,1.534,0.565,635.0,438.8,0.91,1.47041,0.00043
4.69,1.66,0.539,1743.0,416.3,0.931,1.45617,0.0004
8.75,1.765,0.779,1381.8,389.6,0.953,1.29474,0.00042
5.65,1.829,0.814,932.0,491.3,0.853,1.20659,0.0004
4.33,1.524,0.355,926.0,451.1,0.898,1.4724,0.00037
4.58,1.467,0.591,697.7,355.6,0.977,1.32226,0.00044
2.05,1.85,0.287,507.5,370.6,0.967,0.93831,0.00032
3.12,1.505,0.498,1368.6,560.9,0.75,1.33339,0.0005
1.63,1.12,0.296,321.5,309.0,1.0,1.18283,0.00039
4.56,1.607,0.656,1427.9,326.0,0.993,1.30028,0.00047
7.33,1.043,0.274,1639.0,568.2,0.736,1.52267,0.00039
8.52,1.05,0.297,1368.5,407.1,0.939,1.56064,0.00035
3.86,1.794,0.284,767.7,583.6,0.703,1.32488,0.00038
4.37,1.438,0.501,734.3,323.7,0.994,1.43373,0.00041
3.39,1.042,0.21,950.2,487.1,0.858,1.35293,0.00034
2.52,1.542,0.288,1544.2,450.1,0.899,1.18232,0.00042
7.56,1.724,0.775,1590.1,327.3,0.992,1.24712,0.00043
2.53,1.934,0.858,871.4,448.6,0.901,1.1071,0.00034
4.4,1.783,0.2,665.0,480.9,0.866,1.05568,0.00034
2.99,1.102,0.325,1425.7,556.0,0.759,1.33845,0.00042
7.76,1.49,0.62,760.1,345.3,0.983,1.35257,0.0004
4.92,1.602,0.563,366.2,307.7,1.001,1.47462,0.00037
7.54,1.965,0.732,1068.6,589.1,0.689,1.39711,0.00041
2.62,1.361,0.519,660.6,508.6,0.831,1.23485,0.00043
3.88,1.712,0.395,974.1,539.9,0.786,1.44975,0.00038
1.04,1.533,0.4,1706.8,586.4,0.696,1.00253,0.00035
6.69,1.751,0.561,1290.6,386.8,0.955,1.53081,0.00039
1.23,1.639,0.247,628.5,488.6,0.857,0.72775,0.00033
5.32,1.342,0.549,1144.3,447.5,0.902,1.27081,0.00041
8.44,1.255,0.305,1596.7,443.2,0.906,1.59485,0.00038
5.78,1.095,0.321,1326.7,541.3,0.783,1.47133,0.00042
5.76,1.438,0.209,324.8,314.8,0.998,1.3327,0.00036
