Unnamed: 0,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken,vmvf,VolUranium,U_vmvf,TempDiff,TempRatio,FuelDist
0,7.78,1.978,0.635,350.4,366.9,0.969,1.57594,0.00087,11.791141,1.8906499764049896,1.2667686977437445,0.6700175672667157,-16.5,0.9550286181520851,0.708
1,4.83,1.066,0.392,725.5,572.3,0.727,1.29306,0.00098,17.18914,1.0243736270321462,0.482749693521222,0.4712632976698771,153.20000000000005,1.267691770050673,0.28200000000000003
2,8.6,1.727,0.325,1487.9,573.8,0.724,1.59529,0.00088,12.905945,7.584790215667269,0.3318307240354219,0.04374949268207667,914.1000000000001,2.5930637852910428,1.077
3,7.79,1.198,0.483,1111.4,475.5,0.872,1.30671,0.00102,16.153371,0.6943774541042272,0.7328990085633093,1.055476390011505,635.9000000000001,2.33732912723449,0.23199999999999998
4,3.89,1.993,0.834,533.7,447.7,0.902,1.27877,0.00083,14.438443,0.6686829890137386,2.185153619760302,3.267846880602202,86.00000000000006,1.1920929193656469,0.3250000000000002
5,2.23,1.839,0.484,354.7,452.5,0.897,1.31044,0.0009,14.488082,3.332093472920956,0.7359369286593306,0.22086323047060225,-97.80000000000001,0.7838674033149171,0.871
6,8.23,1.417,0.208,694.3,364.8,0.971,1.46319,0.00089,13.885052,13.112678417614767,0.1359178645649088,0.010365377708212924,329.49999999999994,1.903234649122807,1.0010000000000001
7,7.84,1.471,0.571,411.1,306.0,1.001,1.44004,0.00095,13.350195,0.891332631263614,1.0242880103690697,1.149164716338242,105.10000000000002,1.3434640522875818,0.3290000000000002
8,3.35,1.457,0.26,1181.1,527.3,0.805,1.30093,0.00085,16.395504,8.481121650523283,0.21237166338267002,0.025040516117295256,653.8,2.239901384411151,0.937
9,1.87,1.925,0.725,957.0,433.8,0.915,1.21611,0.00091,13.982951,1.0716995424300777,1.6512996385431349,1.5408233120999701,523.2,2.2060857538035963,0.4750000000000001
10,3.55,1.221,0.302,377.1,496.8,0.846,1.43468,0.00085,14.624926,3.7663417068125176,0.28652581637800345,0.07607536402226561,-119.69999999999999,0.7590579710144928,0.6170000000000001
11,8.21,1.706,0.548,1198.1,337.9,0.987,1.55115,0.00096,10.627425,1.8539764768541438,0.9434328402436294,0.5088699085570174,860.1999999999999,3.5457235868600177,0.6099999999999999
12,8.28,1.762,0.636,1085.8,412.2,0.935,1.48267,0.00084,11.716963,1.245557133522182,1.270761662006457,1.020235545850074,673.5999999999999,2.6341581756428916,0.49
13,3.74,1.295,0.468,756.7,355.0,0.977,1.36612,0.00102,14.443767,1.1643912853265919,0.6880841893598509,0.5909389721745084,401.70000000000005,2.131549295774648,0.3589999999999999
14,4.94,1.622,0.229,825.2,365.6,0.97,1.24827,0.00086,14.964815,14.376449468979539,0.16474826034690235,0.011459593045027161,459.6,2.2571115973741795,1.1640000000000001
15,7.4,1.291,0.336,1663.1,390.9,0.952,1.56597,0.00083,12.280291,3.3101707714594526,0.35467324421967333,0.10714650956309969,1272.1999999999998,4.2545408032744945,0.6189999999999999
16,7.42,1.996,0.277,485.3,540.7,0.784,1.44464,0.00089,13.837888,15.04753977654343,0.24105126271729127,0.016019313874355026,-55.400000000000034,0.897540225633438,1.442
17,6.27,1.881,0.69,1776.3,351.1,0.98,1.44375,0.00108,11.523313,1.1840613846039223,1.4957122623741002,1.2632050008745344,1425.1999999999998,5.0592423810880085,0.5010000000000001
18,7.45,1.319,0.524,634.7,341.9,0.985,1.38292,0.00081,13.829717,0.7747477051781579,0.8626059444520711,1.1134023872374164,292.80000000000007,1.8563907575314422,0.2709999999999999
19,1.31,1.12,0.392,1640.8,448.2,0.901,1.07668,0.00086,18.520268,1.2688978630580168,0.482749693521222,0.3804480309847835,1192.6,3.6608656849620704,0.3360000000000001
20,1.33,1.842,0.435,1527.7,373.8,0.965,1.03012,0.0008,19.580178,4.412677947764299,0.5944678698755286,0.1347181636440788,1153.9,4.086944890315677,0.9720000000000001
21,7.32,1.246,0.382,397.9,307.8,1.001,1.55814,0.00084,12.736231,2.047759047576231,0.458433766382437,0.22387095147988648,90.09999999999997,1.292722547108512,0.482
22,5.72,1.422,0.33,1428.5,530.0,0.801,1.52684,0.00075,13.335128,4.513767932911517,0.34211943997592853,0.0757946454183902,898.5,2.6952830188679244,0.7619999999999999
23,5.15,1.505,0.235,1059.7,313.4,0.999,1.32609,0.00086,14.208437,11.479490266246092,0.1734944542944963,0.015113428407586492,746.3000000000001,3.3813018506700705,1.035
24,2.44,1.842,0.675,1077.2,335.4,0.988,1.30222,0.00105,13.623022,1.1847220513924812,1.4313881527918495,1.2082058834892502,741.8000000000001,3.211687537268933,0.492
25,1.37,1.369,0.21,1328.7,413.3,0.934,0.76196,0.00061,21.41075,11.87446654421994,0.13854423602330987,0.011667407163713657,915.4000000000001,3.2148560367771593,0.9490000000000001
26,8.74,1.316,0.523,1058.3,341.9,0.985,1.38215,0.00097,14.091748,0.7727805323995444,0.8593166969437627,1.1119802594865023,716.4,3.095349517402749,0.27
27,1.44,1.953,0.795,512.6,564.3,0.743,1.06586,0.00094,15.700337,0.764329627263463,1.985565096885089,2.597786381765715,-51.69999999999993,0.9083820662768032,0.363
28,5.89,1.544,0.582,1522.3,593.6,0.678,1.30525,0.001,14.436609,1.0234479896005049,1.064132829994549,1.039752719051141,928.6999999999999,2.5645215633423177,0.3800000000000001
