,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken
2875,3.48,1.493,0.47,1217.5,327.8,0.992,1.41456,0.00079,11.656407
2876,8.99,1.067,0.337,364.1,470.5,0.877,1.53303,0.00084,13.176564
2877,7.72,1.856,0.423,965.2,491.4,0.853,1.5962,0.00075,10.786268
2878,7.53,1.824,0.401,652.0,473.4,0.874,1.59101,0.0009,11.056783
2879,5.9,1.008,0.277,1485.9,576.2,0.719,1.46853,0.00095,14.507596
2880,6.03,1.438,0.423,998.3,530.1,0.801,1.50795,0.00086,12.285878
2881,3.99,1.908,0.79,361.7,596.7,0.669,1.21973,0.00099,14.668512
2882,2.67,1.786,0.299,369.6,595.2,0.673,1.22809,0.00087,16.420789
2883,7.01,1.339,0.355,1778.9,507.0,0.833,1.54301,0.0009,12.387246
2884,4.23,1.296,0.482,733.5,360.4,0.974,1.36457,0.00093,14.580466
2885,5.07,1.398,0.365,1232.2,445.9,0.903,1.5075,0.00085,12.397911
2886,8.78,1.051,0.323,756.4,480.9,0.866,1.52394,0.00081,13.889354
2887,3.75,1.08,0.41,686.5,439.2,0.91,1.28719,0.00077,17.238676
2888,8.88,1.089,0.264,1646.1,323.0,0.994,1.59453,0.0007,12.197007
2889,2.73,1.602,0.48,1095.7,460.2,0.889,1.36009,0.00083,13.453988
2890,4.48,1.354,0.4,1284.0,349.9,0.98,1.47151,0.00087,12.090624
2891,3.25,1.022,0.333,1643.8,396.3,0.948,1.33904,0.00087,15.326165
2892,3.58,1.961,0.817,549.6,405.8,0.94,1.28178,0.00104,12.988848
2893,6.88,1.731,0.208,846.5,309.3,1.0,1.23525,0.00095,13.798929
2894,3.64,1.002,0.349,457.9,441.6,0.908,1.35188,0.00089,16.0719
2895,2.63,1.759,0.542,1397.7,308.1,1.001,1.35515,0.00097,11.984703
2896,5.24,1.058,0.201,629.8,539.6,0.786,1.48417,0.00088,15.030615
2897,3.32,1.819,0.76,748.3,456.1,0.893,1.2317,0.00093,13.989352
2898,7.25,1.649,0.37,605.1,490.9,0.854,1.5906,0.00089,11.206455
2899,8.31,1.866,0.646,1767.4,490.1,0.855,1.48254,0.00093,11.256341
2900,6.22,1.3,0.513,1637.5,499.3,0.843,1.29226,0.00091,14.547186
2901,6.62,1.667,0.628,574.6,519.6,0.816,1.4069,0.00088,12.233636
2902,3.36,1.961,0.259,862.6,361.5,0.973,1.01688,0.00077,15.87056
2903,1.68,1.848,0.739,1723.6,499.1,0.844,1.10503,0.00098,14.179562
2904,4.8,1.493,0.602,369.6,390.6,0.952,1.33696,0.00086,13.819995
2905,5.02,1.173,0.389,1185.1,396.2,0.948,1.43373,0.00091,12.970066
2906,1.68,1.176,0.472,822.0,467.6,0.881,1.07571,0.00104,17.453311
2907,2.62,1.927,0.727,1616.3,598.5,0.664,1.20249,0.00092,13.256885
2908,8.07,1.715,0.622,487.9,562.6,0.746,1.44689,0.00088,12.050333
2909,4.88,1.174,0.394,329.5,482.7,0.864,1.43667,0.00087,14.000339
2910,1.49,1.961,0.35,498.2,336.2,0.988,0.89539,0.00072,16.510779
2911,2.14,1.623,0.352,510.2,516.0,0.821,1.22857,0.0009,15.346127
2912,4.21,1.91,0.746,1208.3,390.2,0.953,1.35,0.00089,11.47963
2913,6.21,1.389,0.39,1740.0,540.0,0.786,1.50536,0.00084,12.408004
2914,3.88,1.997,0.241,679.9,363.6,0.972,1.00376,0.00075,16.260061
2915,7.38,1.967,0.637,1672.8,407.4,0.939,1.52917,0.00099,10.564975
2916,4.4,1.761,0.372,1164.8,452.5,0.897,1.44626,0.00087,12.480739
2917,5.38,1.616,0.5,559.1,491.6,0.853,1.50574,0.00097,11.682093
2918,2.2,1.114,0.416,1188.2,342.3,0.985,1.20604,0.00095,15.18342
2919,3.76,1.412,0.235,851.5,493.5,0.851,1.29672,0.00092,15.72206
2920,3.77,2.0,0.643,603.0,453.1,0.896,1.44876,0.00086,11.124797
2921,2.13,1.759,0.53,635.3,401.1,0.944,1.30742,0.00078,12.889865
2922,1.62,1.036,0.4,767.8,521.0,0.814,1.06773,0.00087,19.147962
2923,5.85,1.935,0.736,1411.5,444.1,0.905,1.39972,0.00089,11.442219
2924,1.43,1.643,0.248,858.5,368.2,0.969,0.75615,0.00068,18.682511
2925,1.9,1.544,0.428,1385.4,317.3,0.997,1.23566,0.00087,13.147393
2926,5.8,1.776,0.589,405.6,332.8,0.99,1.52277,0.00087,11.114203
2927,3.6,1.096,0.379,1465.8,591.9,0.682,1.26676,0.00097,15.988594
2928,1.45,1.529,0.388,767.7,594.0,0.676,1.14857,0.00087,16.262153
2929,4.98,1.92,0.607,533.1,347.5,0.982,1.51427,0.00088,10.735964
2930,5.12,1.952,0.744,831.6,580.4,0.71,1.33901,0.00098,12.150543
2931,5.47,1.15,0.43,405.1,476.0,0.871,1.36612,0.00081,15.058305
2932,6.57,1.725,0.615,1279.8,383.6,0.958,1.46597,0.00073,10.93581
2933,6.25,1.778,0.466,1104.7,442.7,0.907,1.55631,0.00091,10.932629
2934,3.65,1.319,0.51,1795.0,549.9,0.769,1.21468,0.00096,15.251041
2935,6.84,1.098,0.438,496.4,464.1,0.884,1.31859,0.0009,15.900521
2936,4.23,1.81,0.636,1462.6,467.2,0.881,1.39873,0.00085,11.842257
2937,6.11,1.98,0.265,1484.0,412.7,0.934,1.28496,0.00074,13.797563
2938,8.04,1.493,0.592,1521.1,508.2,0.832,1.3399,0.00092,13.092747
2939,2.27,1.765,0.644,338.5,510.2,0.829,1.28028,0.00096,13.362427
2940,4.94,1.933,0.355,312.3,566.3,0.739,1.47113,0.00092,12.647581
2941,5.12,1.104,0.406,1793.1,481.5,0.865,1.31659,0.00099,15.263237
2942,4.17,1.874,0.405,1344.3,506.2,0.834,1.44417,0.00079,12.482049
2943,5.15,1.523,0.591,1715.5,549.0,0.771,1.28475,0.00099,13.854681
2944,3.49,1.709,0.319,626.2,504.8,0.836,1.33839,0.00091,14.415155
2945,3.18,1.936,0.689,961.8,459.1,0.89,1.36237,0.00087,12.122947
2946,3.67,1.337,0.429,1597.5,343.7,0.984,1.4038,0.0009,12.688609
2947,1.82,1.659,0.392,1470.4,399.9,0.945,1.16533,0.00081,14.576849
2948,1.62,1.984,0.604,341.2,585.8,0.697,1.22588,0.00081,13.691327
2949,3.91,1.752,0.265,1043.5,374.7,0.964,1.20143,0.00087,14.779771
2950,6.39,1.846,0.515,697.4,547.6,0.773,1.55225,0.00085,11.062733
