model_id,model_name,training_time,cv_mae,cv_mse,cv_rmse,cv_r2,test_mae,test_mse,test_rmse,test_r2,openmc_mae,openmc_mse,openmc_rmse,openmc_r2,openmc_time_taken
mlp,MLPRegressor,5.660168,0.0046474027513574,3.731508708797705e-05,0.0060820469774302,0.9989165409029784,0.0034952618333102,2.1086457681632727e-05,0.0045919993120244,0.9993892999355424,0.006011738157117214,4.676241001401907e-05,0.006838304615474443,0.998335355467408,0.028812
rf,RandomForestRegressor,177.550522,0.0088039191772174,0.0001880140341393,0.0137109247430915,0.9945419935395012,0.0083659255962006,0.0001741202443845,0.0131954630227416,0.9949571783902976,0.008069068726373581,0.00014939961029994224,0.012222913331114733,0.9946816846184231,29.780751
svr,SVR,132.622975,0.0095602409128299,0.0001996077080901,0.0141258970751843,0.9942063591128564,0.0092280972463104,0.0001772522221795,0.0133136104111388,0.9948664709291304,0.009917357801616504,0.00018603083708710645,0.013639312192596313,0.9933776891362589,4.160795
lr,LinearRegression,0.03949,0.0613918458189528,0.0066519760633836,0.0815577872626765,0.8068901702549267,0.0612632045998024,0.006647128620309,0.0815299246921584,0.8074877279925277,0.0597361580802002,0.0061101570222662095,0.07816749338610142,0.782491118884926,0.016849
knn,KNeighborsRegressor,0.003315,0.0185229611861305,0.0008881499863863,0.0297950844613003,0.974226175086551,0.017923430113352,0.0008424086271133,0.0290242765131774,0.9756023979634152,0.017246363215589224,0.0007686303120504247,0.027724182802211228,0.9726383596107304,17.72425
xgb,XGBRegressor,1.913681,0.0034174726214847,2.314424329437011e-05,0.0048103505484864,0.9993279073071925,0.0032562244848689,2.0438948942086093e-05,0.0045209455805269,0.9994080529017804,0.005078652172117233,3.85395561766916e-05,0.006208023532227596,0.998628071960816,0.04833
ada,AdaBoostRegressor,102.87379,0.0558238143775457,0.0045662652100876,0.0675727133431997,0.8674094432033493,0.0552883400534946,0.0045130332808347,0.0671791134269776,0.8692947977741344,0.053940208709857,0.004196170593633266,0.06477785573506788,0.8506250547304867,0.641836
